sleep_date,bedtime,wake_time,inbed_minutes,asleep_window_minutes,asleep_minutes,awake_minutes,total_sleep_min,first_asleep_start,sleep_onset_latency_min,sleep_efficiency,weekday,sleep_debt_7n_min,bedtime_min_wrapped,bedtime_std_7n,bedtime_drift_min,wake_min_wrapped,wake_std_7n
2021-09-21,2021-09-22 00:07:30-08:00,2021-09-22 07:25:07-08:00,437.6166666666667,,,,437.6166666666667,,,,1,,727,,,1165,
2021-09-22,2021-09-22 23:51:39-08:00,2021-09-23 05:54:34-08:00,362.9166666666667,,,,362.9166666666667,,,,2,,711,,,1074,
2021-09-23,2021-09-23 23:37:18-08:00,2021-09-23 23:37:32-08:00,0.23333333333333334,,,,0.23333333333333334,,,,3,639.2333333333333,697,15.011106998930256,,697,248.13773057182038
2021-09-24,2021-09-25 00:10:00-08:00,2021-09-25 08:10:06-08:00,480.1,,,,480.1,,,,4,639.2333333333333,730,15.305227865013963,,1210,233.295949386182
2021-09-25,2021-09-25 23:40:42-08:00,2021-09-26 08:00:06-08:00,499.4,,,,499.4,,,,5,639.2333333333333,700,15.116216457830971,-10.0,1200,214.8643758281023
2021-09-26,2021-09-27 00:13:15-08:00,2021-09-27 05:45:05-08:00,331.8333333333333,,,,331.8333333333333,,,,6,787.4,733,15.794513815457139,9.333333333333371,1065,192.18818902315513
2021-09-27,2021-09-27 23:35:00-08:00,2021-09-28 05:45:06-08:00,370.1,,,,370.1,,,,0,897.3,695,16.519829354589653,-3.3333333333332575,1065,175.44799799370753
2021-09-28,2021-09-29 00:00:00-08:00,2021-09-29 07:21:36-08:00,441.6,,,,441.6,,,,1,893.3166666666666,720,15.744991645115665,7.0,1161,175.08555731685118
2021-09-29,2021-09-29 23:42:33-08:00,2021-09-30 05:45:07-08:00,362.56666666666666,,,,362.56666666666666,,,,2,893.6666666666667,702,16.227548592850784,-15.333333333333371,1065,175.06230183511676
2021-09-30,2021-09-30 23:35:00-08:00,2021-10-01 05:45:07-08:00,370.1166666666667,,,,370.1166666666667,,,,3,523.7833333333333,695,16.529915161249182,-3.6666666666667425,1065,68.6408874401507
2021-10-01,2021-10-02 00:49:53-08:00,2021-10-02 08:10:06-08:00,440.21666666666664,,,,440.21666666666664,,,,4,563.5666666666666,769,27.225688149945718,6.0,1210,68.6408874401507
2021-10-02,2021-10-03 00:17:22-08:00,2021-10-03 07:01:29-08:00,402.8666666666667,,,,402.8666666666667,,,,5,640.7,737,27.12844228761357,28.0,1141,60.08525688751029
2021-10-03,2021-10-03 23:35:00-08:00,2021-10-04 05:45:08-08:00,370.1333333333333,,,,370.1333333333333,,,,6,602.4,695,28.239620933649046,28.0,1065,60.08525688751029
2021-10-04,2021-10-04 23:35:00-08:00,2021-10-05 05:45:05-08:00,370.0833333333333,,,,370.0833333333333,,,,0,602.4166666666667,695,28.239620933649046,-13.0,1065,60.08525688751029
2021-10-05,2021-10-06 00:00:00-08:00,2021-10-06 07:25:04-08:00,445.06666666666666,,,,445.06666666666666,,,,1,598.95,720,28.239620933649046,-30.333333333333258,1165,60.664181006116486
2021-10-06,2021-10-06 23:39:58-08:00,2021-10-07 05:45:05-08:00,365.1166666666667,,,,365.1166666666667,,,,2,596.4000000000001,699,28.51148473693997,-29.0,1065,60.664181006116486
2021-10-07,2021-10-08 00:19:10-08:00,2021-10-08 10:25:08-08:00,605.9666666666667,,,,605.9666666666667,,,,3,486.5166666666667,739,28.029746104213395,10.333333333333371,1345,102.95699518314849
2021-10-08,2021-10-09 01:22:59-08:00,2021-10-09 08:05:06-08:00,402.1166666666667,,,,402.1166666666667,,,,4,524.6166666666667,802,38.18688381156671,43.33333333333326,1205,102.49459916084781
2021-10-09,2021-10-10 00:25:27-08:00,2021-10-10 08:00:06-08:00,454.65,,,,454.65,,,,5,472.83333333333337,745,38.662766634185964,57.33333333333337,1200,104.03181747724614
2021-10-10,2021-10-10 23:37:05-08:00,2021-10-11 06:10:07-08:00,393.03333333333336,,,,393.03333333333336,,,,6,449.93333333333334,697,38.38588530275407,28.66666666666663,1090,100.65854587238417
2021-10-11,2021-10-11 23:35:00-08:00,2021-10-12 05:45:12-08:00,370.2,,,,370.2,,,,0,449.81666666666666,695,38.38588530275407,-34.33333333333326,1065,100.65854587238417
2021-10-12,2021-10-12 23:21:01-08:00,2021-10-13 05:35:07-08:00,374.1,,,,374.1,,,,1,520.7833333333333,681,42.38654323743621,-71.0,1055,108.42486975298789
2021-10-13,2021-10-13 23:35:00-08:00,2021-10-14 05:45:05-08:00,370.0833333333333,,,,370.0833333333333,,,,2,515.8166666666666,695,42.782395133200936,-57.66666666666663,1065,108.42486975298789
2021-10-14,2021-10-15 00:02:33-08:00,2021-10-15 06:05:07-08:00,362.56666666666666,,,,362.56666666666666,,,,3,633.25,722,42.1341395341796,-13.0,1085,64.83495529859974
2021-10-15,2021-10-16 01:07:35-08:00,2021-10-16 08:10:09-08:00,422.56666666666666,,,,422.56666666666666,,,,4,612.8,787,37.35352345208838,43.66666666666663,1210,66.08075867199668
2021-10-16,2021-10-17 00:52:24-08:00,2021-10-17 08:00:06-08:00,427.7,,,,427.7,,,,5,639.75,772,41.80396426861248,70.0,1200,66.08075867199668
2021-10-17,2021-10-17 23:46:44-08:00,2021-10-18 05:45:06-08:00,358.3666666666667,,,,358.3666666666667,,,,6,674.4166666666666,706,41.06440933808393,55.66666666666663,1065,67.98984518013732
2021-10-18,2021-10-18 23:59:36-08:00,2021-10-19 05:45:11-08:00,345.5833333333333,,,,345.5833333333333,,,,0,699.0333333333333,719,39.344631145811995,-2.3333333333332575,1065,67.98984518013732
2021-10-19,2021-10-20 00:00:00-08:00,2021-10-20 07:25:07-08:00,445.1166666666667,,,,445.1166666666667,,,,1,628.0166666666667,720,34.35528655513897,-45.33333333333337,1165,66.82421859233513
2021-10-20,2021-10-20 23:35:00-08:00,2021-10-21 05:45:06-08:00,370.1,,,,370.1,,,,2,628.0,695,34.35528655513897,-43.66666666666663,1065,66.82421859233513
2021-10-21,2021-10-21 23:38:12-08:00,2021-10-22 05:45:05-08:00,366.8833333333333,,,,366.8833333333333,,,,3,623.6833333333334,698,36.5943008833733,-28.0,1065,69.0669102771949
2021-10-22,2021-10-23 01:15:00-08:00,2021-10-23 09:05:12-08:00,470.2,,,,470.2,,,,4,576.05,795,38.797398047267194,14.333333333333371,1265,82.85816912336519
2021-10-23,2021-10-24 01:18:50-08:00,2021-10-24 08:00:05-08:00,401.25,,,,401.25,,,,5,602.5,798,44.407206622348994,52.33333333333326,1200,82.85816912336519
2021-10-24,2021-10-25 00:26:58-08:00,2021-10-25 05:45:05-08:00,318.1166666666667,,,,318.1166666666667,,,,6,642.75,746,42.90188141062608,75.33333333333326,1065,82.85816912336519
2021-10-25,2021-10-25 23:35:00-08:00,2021-10-26 05:45:06-08:00,370.1,,,,370.1,,,,0,618.2333333333333,695,45.61328127389461,17.0,1065,82.85816912336519
2021-10-26,2021-10-27 00:00:00-08:00,2021-10-27 07:26:06-08:00,446.1,,,,446.1,,,,1,617.25,720,45.61328127389461,-43.33333333333326,1166,82.93514390919023
2021-10-27,2021-10-28 00:01:00-08:00,2021-10-28 05:45:08-08:00,344.1333333333333,,,,344.1333333333333,,,,2,643.2166666666667,721,42.75511665286385,-67.66666666666663,1065,82.93514390919023
2021-10-28,2021-10-28 23:05:14-08:00,2021-10-29 04:45:06-08:00,339.8666666666667,,,,339.8666666666667,,,,3,670.2333333333333,665,49.341376435719994,-44.33333333333337,1005,92.94212228714217
2021-10-29,2021-10-30 00:40:00-08:00,2021-10-30 08:00:07-08:00,440.1166666666667,,,,440.1166666666667,,,,4,700.3166666666666,760,43.60318904894563,-5.0,1200,77.9248722442694
2021-10-30,2021-10-30 23:35:00-08:00,2021-10-31 08:00:12-08:00,505.2,,,,505.2,,,,5,621.5666666666666,695,32.52105545056995,-5.333333333333371,1200,77.9248722442694
2021-11-01,2021-11-02 01:38:42-08:00,2021-11-02 10:25:37-08:00,526.9166666666666,,,,526.9166666666666,,,,0,459.6833333333333,818,50.52203668179056,55.66666666666663,1345,114.56709408734721
2021-11-02,2021-11-03 00:00:00-08:00,2021-11-03 07:25:05-08:00,445.0833333333333,,,,445.0833333333333,,,,1,384.7,720,48.91781251193048,29.0,1165,108.35084107613007
2021-11-03,2021-11-03 23:35:00-08:00,2021-11-04 05:45:06-08:00,370.1,,,,370.1,,,,2,460.7,695,50.52203668179056,37.66666666666674,1065,114.5436078322929
2021-11-04,2021-11-04 23:50:31-08:00,2021-11-05 05:40:06-08:00,349.5833333333333,,,,349.5833333333333,,,,3,455.25,710,50.832123326738596,-49.33333333333326,1060,115.17068079283779
2021-11-05,2021-11-06 00:10:00-08:00,2021-11-06 08:10:05-08:00,480.0833333333333,,,,480.0833333333333,,,,4,315.1166666666667,730,43.87048036686001,-32.66666666666674,1210,97.24784242924315
2021-11-06,2021-11-07 00:11:34-08:00,2021-11-07 09:00:07-08:00,528.55,,,,528.55,,,,5,275.23333333333335,731,42.18553125917757,-20.666666666666742,1260,102.05040771249163
2021-11-07,2021-11-08 00:55:04-08:00,2021-11-08 10:29:42-08:00,574.6166666666667,,,,574.6166666666667,,,,6,275.23333333333335,775,42.455579026509504,37.0,1349,119.41484313897016
2021-11-08,2021-11-09 00:35:00-08:00,2021-11-09 06:40:06-08:00,365.1,,,,365.1,,,,0,390.1333333333333,755,26.990298080536125,42.0,1120,105.8093523636691
2021-11-09,2021-11-10 01:00:00-08:00,2021-11-10 06:50:09-08:00,346.5166666666667,,,,346.5166666666667,,,,1,488.69999999999993,780,32.02528762742111,46.33333333333337,1130,107.20985207037836
2021-11-10,2021-11-11 02:00:00-08:00,2021-11-11 11:51:02-08:00,591.0333333333333,,,,591.0333333333333,,,,2,378.79999999999995,840,43.37982853596278,46.33333333333326,1431,133.23216399882432
2021-11-11,2021-11-12 02:10:27-08:00,2021-11-12 10:30:10-08:00,499.71666666666664,,,,499.71666666666664,,,,3,248.38333333333327,850,48.39224652575587,69.66666666666674,1350,118.41553147808874
2021-11-12,2021-11-13 03:23:22-08:00,2021-11-13 09:10:08-08:00,346.76666666666665,,,,346.76666666666665,,,,4,381.6166666666666,923,66.61259712125106,101.0,1270,115.97762509988578
2021-11-13,2021-11-14 00:42:24-08:00,2021-11-14 09:00:33-08:00,498.15,,,,498.15,,,,5,381.6166666666666,762,61.49641878849152,53.33333333333337,1260,115.97762509988578
2021-11-14,2021-11-15 00:35:24-08:00,2021-11-15 06:45:10-08:00,369.66666666666663,,,,369.66666666666663,,,,6,491.95,755,63.926296847005275,-10.0,1125,122.20260304296433
2021-11-15,2021-11-16 00:44:52-08:00,2021-11-16 06:45:19-08:00,360.41666666666663,,,,360.41666666666663,,,,0,496.6333333333334,764,62.73185565791692,-110.66666666666663,1125,121.39035813284006
2021-11-16,2021-11-17 01:00:00-08:00,2021-11-17 08:25:07-08:00,445.1166666666667,,,,445.1166666666667,,,,1,398.0333333333334,780,62.73185565791692,-78.66666666666663,1225,111.76676394979704
2021-11-17,2021-11-18 00:37:35-08:00,2021-11-18 06:40:08-08:00,362.55,,,,362.55,,,,2,515.4833333333333,757,64.07213197044486,-46.33333333333337,1120,89.88087354143566
2021-11-18,2021-11-19 00:48:57-08:00,2021-11-19 06:40:07-08:00,351.1666666666667,,,,351.1666666666667,,,,3,644.3166666666667,768,60.530983801686276,8.0,1120,70.40698017343851
2021-11-19,2021-11-20 01:16:48-08:00,2021-11-20 09:10:07-08:00,473.31666666666666,,,,473.31666666666666,,,,4,517.7666666666667,796,14.51928110512123,7.3333333333332575,1270,70.40698017343851
2021-11-20,2021-11-21 02:04:22-08:00,2021-11-21 09:00:10-08:00,415.8,,,,415.8,,,,5,581.9666666666667,844,31.36801525363675,35.66666666666663,1260,70.40698017343851
2021-11-21,2021-11-22 02:06:04-08:00,2021-11-22 06:40:09-08:00,274.0833333333333,,,,274.0833333333333,,,,6,677.55,846,37.2999425507027,60.33333333333326,1120,71.05497536281068
2021-11-22,2021-11-23 02:24:33-08:00,2021-11-23 06:40:10-08:00,255.61666666666667,,,,255.61666666666667,,,,0,782.3499999999999,864,42.826894087043776,77.66666666666674,1120,71.68881163951473
2021-11-23,2021-11-24 01:41:10-08:00,2021-11-24 09:00:08-08:00,438.96666666666664,,,,438.96666666666664,,,,1,788.5,821,41.15302453734642,41.0,1260,76.68736780560727
2021-11-24,2021-11-25 01:30:25-08:00,2021-11-25 11:30:07-08:00,599.7,,,,599.7,,,,2,671.05,810,33.05911011967458,3.0,1410,109.34872133291262
2021-11-25,2021-11-26 00:22:38-08:00,2021-11-26 07:10:09-08:00,407.51666666666665,,,,407.51666666666665,,,,3,614.7,742,40.63601499022416,-60.33333333333337,1150,105.1529498261603
2021-11-26,2021-11-27 02:51:53-08:00,2021-11-27 08:11:14-08:00,302.6,,,,302.6,,,,4,785.4166666666666,891,47.51290551498825,-29.333333333333258,1211,103.49672182524212
2021-11-27,2021-11-28 00:12:37-08:00,2021-11-28 10:44:49-08:00,592.5833333333334,,,,592.5833333333334,,,,5,721.2166666666667,732,59.74509344269369,-43.33333333333326,1364,116.99552290986401
2021-11-28,2021-11-29 00:23:39-08:00,2021-11-29 06:40:06-08:00,376.45,,,,376.45,,,,6,618.8499999999999,743,63.447766293377555,-2.3333333333333712,1120,116.99552290986401
2021-11-29,2021-11-30 00:56:59-08:00,2021-11-30 06:40:06-08:00,343.1166666666667,,,,343.1166666666667,,,,0,531.35,776,57.158926312019425,-64.0,1120,116.99552290986401
2021-11-30,2021-12-01 01:00:00-08:00,2021-12-01 08:25:14-08:00,445.23333333333335,,,,445.23333333333335,,,,1,525.0833333333333,780,55.26602331752614,-22.0,1225,116.42430608605395
2021-12-01,2021-12-02 01:12:36-08:00,2021-12-02 06:40:11-08:00,327.5833333333333,,,,327.5833333333333,,,,2,677.5,792,54.153661442409025,-6.0,1120,89.61478406942474
2021-12-02,2021-12-03 00:28:52-08:00,2021-12-03 06:40:06-08:00,371.23333333333335,,,,371.23333333333335,,,,3,713.7833333333333,748,53.506118920220445,23.0,1120,92.362381540374
2021-12-03,2021-12-04 01:10:00-08:00,2021-12-04 09:10:08-08:00,480.1333333333333,,,,480.1333333333333,,,,4,536.3833333333333,790,24.347680049843266,10.333333333333258,1270,97.88550162598916
2021-12-04,2021-12-05 02:28:40-08:00,2021-12-05 09:35:07-08:00,426.45,,,,426.45,,,,5,589.9333333333334,868,41.23394348395635,19.33333333333337,1295,79.305016955334
2021-12-05,2021-12-06 00:56:16-08:00,2021-12-06 06:40:09-08:00,343.8833333333333,,,,343.8833333333333,,,,6,622.5,776,37.29164338919213,38.0,1120,79.305016955334
